LICENSENO,BUSINESSNAME,DBANAME,COMMENTS,LOCATIONCOMMENTS,ISSDTTM,EXPDTTM,LICSTATUS,LICCAT,LICCATDESC,OPENING,CLOSING,PATRONSOUT,CAPACITY,PRIMAPPLICANT,PHONE,STNO,STNOHI,Address,CITY,STATE,ZIP,Location
LB-98915,"LEGAL SEA FOODS, LLC",LEGAL CROSSING or LX,10:00 A.M. OPENING ON SUNDAYS FOR ALCOHOL SERVICE WITH BRUNCH.,Restaurant (including take-out service of food and non-alcoholic beverages) and service of food  alcoholic and non-alcoholic beverages in a private residential club. Both the restaurant and private residential club are located on the ground floor of a,01/14/2014 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,175,"LEGAL SEA FOODS, LLC",NULL,558,, Washington St,Boston,MA,2111,"(0.0, 0.0)"
LB-99184,"LEGAL SEA FOODS, LLC",LEGAL HARBORSIDE,10:00 A.M. OPENING ON SUNDAYS FOR ALCOHOL SERVICE WITH BRUNCH.,A RESTAURANT LOCATED IN BUILDING B OF 242 NORTHERN AVENUE CONSISTING OF ONE ROOM ON EACH OF THE 2 FLOORS FOR DINING  KITCHEN & STORAGE LOCATED ON THE 1ST FLOOR IN THE REAR  A ROOF DECK & AN OUTDOOR DINING PATIO.  WITH ONE MAIN ENTRANCE/EXIT AND 5 ADDITIONAL EXITS.  THE OUTDOOR PATIO WILL BE LOCATED,11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,809,"LEGAL SEA FOODS, LLC",NULL,270,,  Northern AV,Boston,MA,2210,"(0.0, 0.0)"
LB-99316,"LEGAL SEA FOODS, LLC",LEGAL OYSTERIA,(1) 1:00am closing hour restriction for restaurant inside. (2) Licensee will make every effort not to conceal or interfere with Freedom Trail Markings. (3) Patio Conditions: (a)alcoholic beverages to be served only in conjunction with meals; (b)patio has a closing hour of10:00 pm.,In one room on the first floor; storage and kitchen in rear room and  secondly  to include an outdoor seasonal patio for up to twenty (20) seats  also to incorporate a private dining room in the rear of the premises seating thirty-five (35) patrons.  CAPACITY BREAKDOWN: 180 PERSONS TOTAL: PRIVATE DI,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,180,"LEGAL SEA FOODS, LLC",NULL,10,,  City SQ,Charlestown,MA,2129,"(42.372275, -71.061689)"
LB-126408,"LEGAL SEA FOODS, LLC",LEGAL SEA FOODS,n/a,SPACE KNOWN AS UNIT BA-A31 IN THE TERMINAL B CONNECTOR CONSISTING OF 1 160 SQUARE FEET. THE PREMISES CONSISTS OF A 32 SEAT BAR AND A LIMITED FOOD PREP AREA WHICH WILL NOT REQUIRE EXHAUST HOODS.  ADDING APPROXIMATELY 848 SQUARE FEET WITH AN ADDITIONAL 32 SEATS.,04/15/2014 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALA,CV7 All Alc. Airp.,NULL,2:00 A.M.,NULL,45,"LEGAL SEA FOODS, LLC",NULL,,,"  Logan Airport, Terminal B  ",East Boston,MA,2128,"(0.0, 0.0)"
LB-98873,"LEGAL SEA FOODS, LLC",LEGAL SEA FOODS,10:00 A.M. OPENING ON SUNDAYS TO SERVE ALCOHOLIC BEVERAGES WITH BRUNCH.,ROOM 28 ON THE SECOND LEVEL  CONSISTING OF A DINING AREA  A KITCHEN  TWO STORAGE AREAS AND A COAT/LUGGAGE AREA.,12/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALA,CV7 All Alc. Airp.,NULL,2:00 AM,2:30 AM,130,"LEGAL SEA FOODS, LLC",NULL,,,"  Logan Airport, Terminal C  ",East Boston,MA,2128,"(0.0, 0.0)"
LB-98916,"LEGAL SEA FOODS, LLC",LEGAL SEA FOODS,1. Alcohol to be served only with food on the patio. 2. Staff to be present on patio @ all times. 3. Patio must close at 11:00 P.M.  10:00 A.M. OPENING ON SUNDAYS  FOR ALCOHOL SERVICE WITH BRUNCH.,In two rooms on the first floor including a bar/lounge area; kitchen in the rear  two main entrances/exits and two emergency exits with storage in the basement  and a outdoor patio dining area for sixty (60) persons.,11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,238,"LEGAL SEA FOODS, LLC",NULL,255,,  State ST,Boston,MA,2109,"(42.359417, -71.051129)"
LB-98999,"LEGAL SEA FOODS, LLC",LEGAL SEA FOODS,10:00 A.M. OPENING ON SUNDAYS FOR ALCOHOL SERVICE WITH BRUNCH.,A full service restaurant on two floors with bars  oyster bar and function seating and storage on cellar level  kitchen restaurant seating and bar on first level with two main entrance/exits and one fire exit.,11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,420,"LEGAL SEA FOODS, LLC",NULL,26,,  Park PZ,Boston,MA,2116,"(42.351363, -71.069099)"
LB-99091,"LEGAL SEA FOODS, LLC",LEGAL SEA FOODS,10:00 A.M. OPENING ON SUNDAYS FOR ALCOHOL SERVICE WITH BRUNCH.,TWO LEVELS WITH EMPLOYEE LOCKERS AND MECHANICAL ROOM ON UPPER LEVEL; OFFICE  KITCHEN  2 DINING ROOMS AND FUNCTION ROOMS ON LOWER LEVEL.  ONE ENTRANCE & EXIT TO MALL  EGRESS FROM DINING ROOM AND SIDE EXIT TO MALL CORRIDOR  REAR EXIT TO SERVICE ELEVATOR.,11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,299,"LEGAL SEA FOODS, LLC",NULL,100,, Huntington Av,Boston,MA,2116,"(42.34721, -71.0782)"
LB-99367,"LEGAL SEAFOODS, LLC",LEGAL SEAFOODS,10:00 A.M. OPENING ON SUNDAYS FOR ALCOHOL SERVICE WITH BRUNCH.,800 BOYLSTON STREET  LEVEL 2  PRUDENTIAL CENTER  WITH TWO ENTRANCES AND EXITS TO MALL CONCOURSE  IN ONE LARGE ROOM WITH LOUNGE  KITCHEN  AND STORAGE IN THE REAR.,11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,351,"LEGAL SEAFOODS, LLC",NULL,800,,  Boylston ST,Boston,MA,2199,"(42.347296, -71.081457)"
LB-123506,"LEGAL SEA FOODS, LLC",LEGAL TEST KITCHEN,10:00 A.M. OPENING ON SUNDAYS TO SERVE ALCOHOLIC BEVERAGES WITH BRUNCH.,F-2 Logan Airport  Terminal A is actual address. Approximately 2 500 square feet in Terminal A on the mezzanine level. consisting of a dining area  kitchen and storage area.,01/14/2014 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALA,CV7 All Alc. Airp.,NULL,2:00 AM,2:30 AM,115,Legal Sea Foods LLC,(617)530-9000,,,  Logan Airport F-2 Terminal A  ,East Boston,MA,2128,"(0.0, 0.0)"
LB-98834,JAMAICA PLAIN NO. 76 INC. OF THE AMERICAN,LEGION DEPARTMENT OF MASS,No Transfer of ownership  Ch 1161  Acts of l973  License originally issued 1982,No Transfer of ownership  ch 1161  Acts of 1973 License originally Issued 1982.,12/05/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBALV,Clb. All Alc. Vet.,NULL,1:00 AM,1:30 AM,140,JAMAICA PLAIN NO. 76 INC. OF THE AMERICAN,NULL,280,,  South ST,Jamaica Plain,MA,2130,"(42.300806, -71.115149)"
LB-101622,"THE LENOX HOTEL,L.L.C",LENOX HOTEL,1. Sunday opening 11:00 A.M. 2.Midnight closing on patio 3. Alcohol with food only on patio,706-712 BOYLSTON ST: 61  69 EXETER ST  IN WHOLE OF SAID BLDG & TO INCLUDE A SEASONAL SIDEWALK CAFE FOR 14 PATRONS THEREBY DELETING IN ONE ROOM ON 1ST FLR (EXETER ROOM)  THEREBY DELETING FROM THE LICENSED PREMISES 704 BOYLSTON ST & A REAR DELIVERY DOOR ON E.  61 69 EXETER STREET  BOSTON  MA  02116,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,2:30 AM,0,"THE LENOX HOTEL,L.L.C",NULL,61,69,  Exeter ST,Boston,MA,2116,"(42.349129, -71.079618)"
LB-99556,"LE, INC.",LE'S,1. MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2. NO BAR.,In three rooms on the first floor with kitchen and storage in the rear.,12/02/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,159,"LE, INC.",NULL,137,,  Brighton AV,Allston,MA,2134,"(42.353116, -71.131381)"
LB-99221,IN VINO VERITAS BISTRO LLC,LES ZYGOMATES CAFE,NONE,In two rooms on the first floor with kitchen and storage in rear.  Total sq foot: 5 826.  Number of entrances/exits: 3,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,150,IN VINO VERITAS BISTRO LLC,NULL,129,,  South ST,Boston,MA,2111,"(42.351209, -71.057569)"
LB-99077,"NEW FRANCE - BACK BAY, LLC",L'ESPALIER AND SEL DE LA TERRE,NONE,SEL DE LA TERRE 1ST FLOOR CAFE/BAR; KITCHEN & STORAGE IN REAR WITH CAPACITY FOR 56 PATRONS (32 SEATED  24 STANDING) AND 3RD FLOOR DINING ROOM FOR 187 PATRONS (169 SEATED  18 STANDING) AND 800 SQUARE FOOT INDOOR PATIO WITH 52 SEATS LOCATED ADJACENT TO THE LICENSED PREMISES WITHIN THE PRUDENTIAL CENTE,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,372,"NEW FRANCE - BACK BAY, LLC",NULL,776,778,  Boylston ST,Boston,MA,2116,"(0.0, 0.0)"
LB-99673,"GEORGE'S RESTAURANT & LOUNGE, INC.",LEVI'S RESTAURANT & LOUNGE,NO BAR IN RESTAURANT. THE BOARD EXTENDED THE CLOSING HOUR ON FRIDAY/SATURDAY  SUNDAYS TO 2:00 A.M.,IN ONE ROOM ON THE FIRST FLOOR WITH KITCHEN IN THE REAR; AND ONE FUNCTION ROOM IN BASEMENT ALONG WITH STORAGE. CAPACITY BREAKDOWN: 1ST FL 35; BASEMENT FUNCTION HALL 99.,11/08/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,1:00 AM,1:30 AM,134,"GEORGE'S RESTAURANT & LOUNGE, INC.",NULL,323,,  Washington ST,Dorchester,MA,2121,"(42.29983, -71.07452)"
LB-101667,DON'T LOOK BACK LESSEE,LIBERTY HOTEL,NONE,IN WHOLE OF SAID BUILDING WITH THE EXCEPTION OF THE FIRST FLOOR RESTAURANT  BAR  KITCHEN AND STORAGE  ON THE FIRST FLOOR AND TWO OUTDOOR SEASONAL SEATING AREAS ADJACENT THERETO.,11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,2:30 AM,0,DON'T LOOK BACK LESSEE,NULL,215,,  Charles ST,Boston,MA,2114,"(42.36203, -71.070362)"
LB-99646,"W Entertainment Group, Inc.",Limelight,1.) NO ALCOHOL SERVICE IN INDIVIDUAL STUDIOS UNLESS ALL PRESENT ARE OVER 21 YEARS OF AGE 2.) NO BAR 3.) SERVICE OF ALCOHOL TO END AT 1:00 A.M.,Ground floor restaurant divided into 12 rooms  kitchen and storage in rear.  Entrance and exit in the front and rear of the building.,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,2:00 AM,2:30 AM,113,"W ENTERTAINMENT GROUP, INC.",NULL,204,,  Tremont ST,Boston,MA,2116,"(42.351757, -71.064491)"
LB-99706,"RISTORANTE LIMONCELLO, INC.",Limoncello Restaurant,NONE,EXITS IN REAR; IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR; CELLAR FOR STOCK.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,1:00 AM,1:30 AM,120,"RISTORANTE LIMONCELLO, INC.",NULL,190,,  North ST,Boston,MA,2113,"(42.363379, -71.053961)"
LB-99123,"Lincoln Bar & Grill, Inc.","Lincoln Bar & Grill, Inc.",NONE,Unnumbered entrance adjoining 8 Lincoln St; two emergency exits; bulkhead entrance for stock - in two rooms & kitchen first floor; cellar for stock.  To add an outside seasonal patio on private property from April 1st-October 31st for 16 patrons between the hours of 11:00 a.m.-10:00 p.m.,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,76,"LINCOLN BAR & GRILL, INC.",NULL,8,,  Lincoln ST,Brighton,MA,2135,"(42.358902, -71.146953)"
LB-101570,"LIQUID ART BOSTON, LLC",LIQUID ART HOUSE,11:30 P.M. closing Sunday-Wednesday; 12:30 A.M. closing on Thursday  Friday and Saturday.,On the first floor  in three rooms: Main dining room  additional dining area with full-service bar and supplemental private dining area.  Kitchen and storage located in rear; bathrooms  office and additional storage located in basement.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,11:30 PM,12:00 AM,220,Liquid Art Boston L L C,NULL,100,,  Arlington ST,Boston,MA,2116,"(42.35002, -71.0695)"
LB-98926,"GEORGE BEST, INC.",LIR,1.  Closing hour at 1:00AM.  2.  Alcohol with food only at tables.  3.  Capacity of 117 persons-1st floor and 102 persons-2nd floor and 136 persons basement. 4.  Service bar only in Basement.  5. Garbage to be stored in rodentproof facility inside restaurant & put out for pick-up one half hour before collection time.  No outside garbage storage.  6. No TV screens/monitors in dining section. ALCOHOLIC BEVERAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,IN ONE ROOM  KITCHEN AND LOUNGE AREA ON FIRST FLOOR; FUNCTION ROOM ON SECOND FLOOR; IN ONE ROOM FOR PATRON OCCUPANCY AND STORAGE IN BASEMENT.  EXIT TO ALLEY IN REAR.  Capacity breakdown: 1st fl - 117; 2nd fl - 102; basement - 136.,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,355,"GEORGE BEST, INC.",NULL,903,905,  Boylston ST,Boston,MA,2115,"(42.348481, -71.084239)"
LB-99340,"TY RESTAURANT GROUP, INC.",LITTLE ASIA RESTAURANT,,In three rooms & Kitchen first floor-storage in the basement,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,99,"TY RESTAURANT GROUP, INC.",NULL,991,,  Bennington ST,East Boston,MA,2128,"(42.386375, -71.007041)"
LB-124751,"LITTLE Q COMPANY, INC.","Little Q Hot Pot, Sushi Bar and Lounge",NONE,In one room on ground floor; entrance on Washington and exits to Beach Street and building common area; kitchen and storage in the rear.,01/15/2014 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 a.m.,2:30 a.m.,78,"Little Q Company, Inc.",(626)807-7739,660,, Washington St,Boston,MA,2111,"(0.0, 0.0)"
LB-99512,"LITTLE STEVE'S PIZZA, INC",LITTLE STEVIE'S PIZZA,1) 6:00 A.M. opening hour for the service of food only. 2)3:00 A.M. closing hour for the service of food only. PATIO CONDITIONS: 1) Alcoholic beverages to be served only in conjunction with meals; and2) to be staffed at all times.,ONE ROOM FIRST FLOOR.  AND TO INCLUDE AN OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FROM APRIL - OCTOBER FOR 16 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,NULL,1:00 AM,1:30 AM,85,"LITTLE STEVE'S PIZZA, INC",NULL,1114,, Boylston St,Boston,MA,2215,"(0.0, 0.0)"
LB-99073,ASSOCIATES AND LEISURE ACTIVITIES LLC,LIVE AT THE WILBUR,1.) SHOWS TO END BY MIDNIGHT  2.) WRITTEN APPROVAL MUST BE OBTAINED BY BOARD FOR SHOWS ENDING AFTER MIDNIGHT.,246 TREMONT STREET (UPPER LEVELS) IN WHOLE OF SAID BUILDING  EXCEPTING THEREFROM THE ROOM IN LOWER LEVEL WHICH IS THE ARIA NIGHTCLUB.,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,1201,ASSOCIATES AND LEISURE ACTIVITIES LLC,NULL,246,,  Tremont ST,Boston,MA,2116,"(42.350688, -71.064668)"
LB-99037,"HAMACHI SERVERS, INC.",LOCAL 149,The Board granted the petition to begin serving alcohol at 10:00 a.m. on Sundays with brunch.,IN ONE ROOM ON FIRST FLOOR  WITH KITCHEN IN REAR; MAIN ENTRANCE ON EAST SIXTH STREET AND EMERGENCY EXIT ON P STREET AND CELLAR FOR STOCK AND OFFICE. (MANAGEMENT AGREEMENT APPROVED BY BLB AND ABCC BETWEEN HAMACHI SERVERS  INC. AND HAMACHI LLC).,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,94,"HAMACHI SERVERS, INC.",NULL,823,831,E Sixth ST,South Boston,MA,2127,"(42.333112, -71.027318)"
LB-99686,"LOCALE, INC.",LOCALE,NONE,APPROXIMATELY 800 SQUARE FEET OF SPACE LOCATED ON FIRST FLOOR OF PREMISES WHICH INCLUDES KITCHEN  9 TABLES & 18 SEATS.  ALL ENTRANCE AND EXITS ARE LOCATED ON HANOVER STREET.  CLOSING HOUR SUNDAY-THURSDAY 11:00 AM-11:00 PM.  FRIDAY-SATURDAY 11:00-MIDNIGHT.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,11:00 AM,11:00 PM,11:30,18,"LOCALE, INC.",NULL,350,352,  Hanover ST,Boston,MA,2113,"(42.36512, -71.05339)"
LB-99304,"Broadway Restaurant, LLC",Loco Taqueria & Oyster Bar,NONE,In one room with kitchen and storage in rear; restrooms and storage in basement; main entrance and exits on West Broadway.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,177,"Broadway Restaurant, LLC",(617)268-2821,412,414,W Broadway ,South Boston,MA,2127,"(42.337039, -71.047689)"
LB-99712,"BROOK EGG FARM, INC.",LOCONTE'S,1. No bar.  2. Malt and Wine with Liqueurs to be served only in conjunction with meals.,IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR; STORAGE IN REAR AND EXTEND THE DINING ROOM TO THE SECOND FLOOR.  CAPACITY BREAKDOWN: 1ST FL - 76; 2ND FL - 23.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,11:00 PM,11:30 PM,99,"BROOK EGG FARM, INC.",NULL,116,,  Salem ST,Boston,MA,2113,"(42.364676, -71.055658)"
LB-101658,"LBV HOTEL, LLC",LOEWS BOSTON HOTEL,PATIO OPERATING HOURS ARE 6:00 A.M. TO: 1) 2:00 A.M. ON THE STUART STREET SIDE; AND 2) 12:00 A.M. ON THE STANHOPE STREET SIDE OF BERKELEY STREET.,IN WHOLE OF SAID BUILDING.  INCLUDES AN OUTDOOR SEASONAL (APRIL-OCTOBER) PATIO ON PRIVATE PROPERTY FOR 90 PATRONS.,11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,"LBV HOTEL, LLC",NULL,154,,  Berkeley ST,Boston,MA,2116,"(42.349158, -71.072431)"
LB-131162,"TASTES ON THE FLY BOSTON, LLC",Logan Lounge,THE BOARD APPROVED A 10:00 AM OPENING HOUR.,A 5 300 sq. ft. area  with a kitchen and rooms for travelers to store luggage  shower  pray  have quiet space  and dine. 1 men's and 1 women's room and storage area in terminal C  Pier B.,10/03/2014 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,NULL,2:00 a.m.,2:30 a.m.,60,"TASTES ON THE FLY BOSTON, LLC",(617)567-2277,,,"  Logan Airport, Terminal C  ",East Boston,MA,2128,"(0.0, 0.0)"
LB-99029,"LOLITA BOSTON, LLC",LOLITA COCINA & TEQUILA BAR,1. Entertainment must end at 1:00 A.M. 2. Doorman outside whenever people outside.  PATIO CONDITIONS: A.) 11:00 P.M. CLOSING  B.) ALCOHOL SERVICE ONLY IN CONJUNCTION WITH MEALS.  C.) PATIO TO BE STAFFED AT ALL TIMES. ALCOHOLIC BEVERAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,ENTRANCE FROM LOBBY; SIDE ENTRANCE FROM ALLEY FOR STOCK; IN TWO ROOMS AND KITCHEN ON FIRST FLOOR; TWO STOCK ROOMS IN BASEMENT; AND OUTDOOR SEASONAL PATIO ON DPW LAND FROM APRIL THROUGH OCTOBER FOR 10 PATRONS.  CAPACITY: 12 @ BAR STOOLS; 146 @ TABLES & CHAIRS; 85 STANDING.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,243,"LOLITA BOSTON, LLC",NULL,271,,  Dartmouth ST,Boston,MA,2116,"(42.35068, -71.077361)"
LB-101629,LONGWOOD HOTEL CORP.,LONGWOOD HOTEL,11:00 A.M. OPENING ON SUNDAYS FOR THE SALE OF ALCOHOLIC BEVERAGES WITH BRUNCH.,IN WHOLE OF SAID BUILDING.  (SEE ISD CERTIFICATE FOR MORE COMPLETE DESCRIPTION OF CAPACITY.),11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,LONGWOOD HOTEL CORP.,NULL,342,,  Longwood AV,Boston,MA,2115,"(42.338216, -71.106561)"
LB-99154,"IPSWICH ENTERTAINMENT, INC.",Loretta's Last Call,PATIO CONDITIONS: A) ALCOHOL TO BE SERVED ONLY IN CONJUNCTION WITH FOOD; AND B) PATIO TO BE STAFFED AT ALL TIMES. ALCOHOLIC BEVERAGES SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,IN ONE ROOM ON FIRST FLOOR WITH EMERGENCY EXIT ON LANSDOWNE STREET WITH KITCHEN AND STORAGE IN REAR AND TO INCLUDE AN OUTDOOR PATIO ON PRIVATE PROPERTY FOR 32 PATRONS BETWEEN THE HOURS OF 5:00 P.M. TO 2:00 A.M. INSIDE CAPACITY BREAKDOWN: 70 SEATED; 33 @ BAR SEATING; 81 STANDING.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,267,"IPSWICH ENTERTAINMENT, INC.",NULL,1,,  Lansdowne ST,Boston,MA,2215,"(42.347312, -71.094489)"
LB-99835,"LOS ARRIEROS RESTAURANT, INC.",LOS ARRIEROS RESTAURANT,NONE,IN ONE ROOM ON THE GROUND FLOOR  KITCHEN AREA IN THE REAR  STORAGE IN THE BASEMENT.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,MIDNIGHT,12:30 AM,39,"LOS ARRIEROS RESTAURANT, INC.",NULL,13,15,  Meridian ST,East Boston,MA,2128,"(42.370601, -71.038751)"
LB-99710,"L'OSTERIA, INC.",L'OSTERIA,Air conditioner to be turned off by 10 pm.,@104 SALEM STREET: IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR  AND CELLAR FOR STOCK.  CAPACITY BREAKDOWN: 1ST FL - 48; 2ND FL - 30.,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,11:00 PM,11:30 PM,78,"L'OSTERIA, INC.",NULL,,104,  Salem ST,Boston,MA,2113,"(42.364299, -71.055722)"
LB-99063,"LEGAL SEA FOODS, LLC",LTK BAR AND KITCHEN,PATIO CONDITIONS: 1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2.) TO BE STAFFED AT ALL TIMES. PATIO HOURS: MONDAY-SUNDAY 2:00 AM CLOSING HOUR. 10:00 A.M. OPENING ON SUNDAYS FOR ALCOHOL SERVICE WITH BRUNCH.,IN TWO ROOMS ON THE GROUND FLOOR; KITCHEN AND STORAGE IN THE REAR AND TO INCLUDE  OUTDOOR SEASONAL DINING FROM APRIL THROUGH OCTOBER FOR 32 PATRONS ON PRIVATE PROPERTY.,11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,166,"LEGAL SEA FOODS, LLC",NULL,225,, Northern Av,Boston,MA,2210,"(42.348075, -71.039263)"
LB-99002,UKUSA CORP.,LUCCA,1.  Kitchen windows to be kept closed at all times. 2.  Rubbish and trash to be stored inside until picked up. 3.  Patrons to avoid double parking in front of premises.,ON 2ND LEVEL IN ONE ROOM BASEMENT LEVEL BAR AND DINING ROOM  KITCHEN IN THE REAR; OFFICE AND STORAGE IN REAR.  FIRST FLOOR BAR AND DINING ROOM AND  TO INCLUDE AN ADDITIONAL DINING AREA AT ADJACENT SPACE LOCATED AT 224 HANOVER STREET.,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,252,UKUSA CORP.,NULL,224,226,  Hanover ST,Boston,MA,2113,"(0.0, 0.0)"
LB-99332,"LUCCA HOLDINGS, INC.",LUCCA BACK BAY,PATIO CONDITIONS: 1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) TO BE STAFFED AT ALL TIMES.,TWO ROOMS  KITCHEN AND STORAGE AREA ON THE FIRST FLOOR AND MEZZANINE.  AND TO INCLUDE AN OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FOR 12 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.  CAPACITY BREAKDOWN: 1ST FL - 156  2ND FL - 44.,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,200,"LUCCA HOLDINGS, INC.",NULL,116,,  Huntington AV,Boston,MA,2116,"(42.34651, -71.07976)"
LB-99089,DONATO DONATO GIANNI LLC,LUCIA,1.) DINING ROOM - ALCOHOLIC BEVERAGES WITH FOOD ONLY  2.) 80 PEOPLE ON SECOND FLOOR  3.) UPSTAIRS FOR DINNER PATRONS ONLY,Rear exit 8 Harris St; in two rooms on the first floor  one room in basement for patrons & one room for stock; one room on second floor for patrons & one room for office & stock.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,190,DONATO DONATO GIANNI LLC,NULL,415,,  Hanover ST,Boston,MA,2113,"(42.365578, -71.052718)"
